,id,img,label,text
0,53692,img/53692.png,1,"wait, mohammad come back!! i didn't mean to laugh,really size doesh't matter to me lol"
1,78469,img/78469.png,1,when each letter is a mental disorder
2,93512,img/93512.png,1,once you go black so does your eye
3,10829,img/10829.png,1,"its ok, let them in only a few will kill"
4,49536,img/49536.png,0,hillary clinton caught telling the truth! april fools!
5,43610,img/43610.png,1,send me a latina who's not crazy i don't know how to make them
6,29643,img/29643.png,1,"dad, dishwasher is loaded again '' ''"
7,64590,img/64590.png,1,damnit! dishwasher's broke again
8,48579,img/48579.png,1,throws people into gas chambers evil throws people into eternal pits of fire good
9,95103,img/95103.png,0,you're not really drunk until you are speaking fluent ozzy osbourne
10,59142,img/59142.png,1,when your memes spread faster than stds at gay bars i've got the power
11,35896,img/35896.png,0,once you go black you are forever a single mom
12,39870,img/39870.png,1,"when muslim parents use the ""open wide, here comes the airplane"" technique do they just smash it in the baby's face and make explosion noises?"
13,70126,img/70126.png,1,when i have an orgasm it's tranny fluid
14,68309,img/68309.png,1,"actually retard, the muslims aren't the problem the problem is that pussies are stopping us from killing the muslims"
15,37628,img/37628.png,1,when your uber driver arrives but you're probably safer driving drunk
16,80256,img/80256.png,0,damn girl that's a policy i could get behind
17,37615,img/37615.png,1,i thought of something funnier than 9/11 the holocaust
18,6824,img/06824.png,1,these aren't bears! these are just two fat gay fucks! pride
19,15806,img/15806.png,0,so much trash we need a garbage collector
20,73520,img/73520.png,1,does this burka make my bomb look big?
21,71485,img/71485.png,0,hurry ladies he's still.. luke warm
22,53908,img/53908.png,0,"i know you like her son, but you can't just pull a girls hair.. until she's 30 or so. they actually come around on this one"
23,78903,img/78903.png,1,if a nigga did this he would've got the death penalty
24,46318,img/46318.png,0,when you don't have to see your ex future mother-in-lav anymore
25,73814,img/73814.png,0,oh god oh fuck please end my suffering
26,2973,img/02973.png,0,how long can i run? till the chain tightens
27,6859,img/06859.png,1,the entire world: the great war killed millions germany: you gotta pump those numbers up!
28,1256,img/01256.png,1,when your debit card decline at the abortion clinic and they have to put the baby back in
29,45267,img/45267.png,1,survives ebola gets adopted by angelina jolie
30,63095,img/63095.png,0,when you have errands to run but you're too tired to deal
31,84120,img/84120.png,0,when u tryin to be cute but she gotta make everything sexual
32,43612,img/43612.png,1,racing for pink slips in africa
33,8172,img/08172.png,0,bosses be like when you coming in?
34,32750,img/32750.png,0,"william shatner has discontinued his new line of ladies lingerie apparently ""shatner panties"" wasn't the best choice for a name"
35,29785,img/29785.png,0,"he's making a list, checking it twice gonna find out who's getting deported by i.c.e"
36,40257,img/40257.png,1,lgbt virus [gay zombie noises]
37,27864,img/27864.png,1,hey volks...im back ? did jew miss me ?
38,71038,img/71038.png,1,when all your troops are freezing in russia so you burn 6 million jews to keep them warm
39,89542,img/89542.png,0,enjoying a warm cup on a cold day
40,29056,img/29056.png,0,how do we destroy the patriarchy? it's simple. we eat it
41,96873,img/96873.png,0,"if you believe that, i've got fresh cattle to sell you"
42,31645,img/31645.png,0,the floor is jews
43,46509,img/46509.png,1,removes polish with chemicals nobody bats an eye removes polish with chemicals everybody lose his shit
44,4762,img/04762.png,0,scientist are working hard to cure them all
45,4387,img/04387.png,0,"sit down kids, i will now tell you how i met your mother"
46,52903,img/52903.png,1,throwing off a gay one with the boys
47,30296,img/30296.png,1,when the un adds another million to the holocaust death toll
48,45317,img/45317.png,0,i'm trying to decide if i should start some shit today or not
49,34680,img/34680.png,1,when she's says she only dates black guys
50,41860,img/41860.png,1,ok perhaps nigger
51,47596,img/47596.png,1,porki comment army in action against india
52,93428,img/93428.png,0,vote for the candidate who wants to kiss babies not kill them
53,69351,img/69351.png,1,hey muslim eat me!
54,95831,img/95831.png,0,who's down for a 3.5 way
55,9523,img/09523.png,0,we shall snort cocaine and have our assholes tongued by the angels
56,82461,img/82461.png,1,i hate when i see a black out in my neighborhood but i still offer my neighbors a candle
57,89267,img/89267.png,0,dishwasher is broken? then wash it by hand
58,75438,img/75438.png,0,"over 5,000 years of eating bread and in less than a decade everyone is allergic to gluten"
59,98754,img/98754.png,1,400 years of slavery rape and murder but now she loves him and hates her own men
60,63587,img/63587.png,0,"enemies. was i right?! surrounded by perverts and now, you are bankrupt, after wwii, i said 'we defeated the wrong enemy.'"
61,23459,img/23459.png,0,i don't understand your specific kind of stupid but i do admire your total commitment to it
62,4268,img/04268.png,1,guess which one is which? 1. transgender; 2. suicide bomber or 3. a floor lamp
63,32468,img/32468.png,0,be sure to spay or neuter your spouse today
64,76429,img/76429.png,1,fresh out of bradford bomb jovi
65,67581,img/67581.png,1,no one: white people when you nod at them:
66,29380,img/29380.png,1,all i want for christmas is 6 million
67,84527,img/84527.png,1,don't get me started about your tranny problems
68,72146,img/72146.png,0,here's to you obama! let's have a drink!
69,87936,img/87936.png,1,sandwich law: no sandwich is complete without bacon
70,48136,img/48136.png,0,meanwhile at the isis strip club
71,93286,img/93286.png,0,when your mom has to take a picture everywhere
72,78960,img/78960.png,1,you know like when the tv doesn't work you give it a hard hit and then its all better
73,53694,img/53694.png,1,"they kill gays, and women who go out in public without a male relative and are supported by democrats and liberals"
74,4328,img/04328.png,0,if only dogs could pick up after themselves
75,24918,img/24918.png,0,7 generations of check engine lights
76,35614,img/35614.png,1,how do you play taliban bingo? b-52..f-16...b-1..a-10
77,94506,img/94506.png,0,we cannot allow birth control we will run out of children to molest
78,83219,img/83219.png,1,"normal people: ""black squirrel"" me: ""squigga"""
79,56179,img/56179.png,0,from no child left behind to no child left alive
80,41538,img/41538.png,1,im long and strong and down to get the goat hump on
81,68450,img/68450.png,0,"""she said ""i want a ring"" i said ""bitch take your phone off silent! """
82,70396,img/70396.png,0,sometimes i crunch up my jizz when it dries then i bring the white powder to parties and watch people snort my cock sand
83,23875,img/23875.png,0,the feeling of the first dance
84,51680,img/51680.png,0,when i grow up i'm going to blow up
85,46075,img/46075.png,1,i wonder what kind of sandwich she is building. oh
86,71826,img/71826.png,1,"white people dont shoot eachother in the streets like black people do we do it in schools, because we have class"
87,47528,img/47528.png,1,i won a gift certificate to a tanning salon
88,5863,img/05863.png,1,hello brother wait is that a shotgun?
